date,region,product,category,quantity,revenue,profit
2024-01-01,Seoul,Laptop,Electronics,15,22500000,4500000
2024-01-01,Seoul,Phone,Electronics,25,25000000,5000000
2024-01-01,Busan,Laptop,Electronics,10,15000000,3000000
2024-01-01,Busan,Tablet,Electronics,8,8000000,1600000
2024-01-02,Seoul,Laptop,Electronics,18,27000000,5400000
2024-01-02,Seoul,Phone,Electronics,30,30000000,6000000
2024-01-02,Daegu,Laptop,Electronics,12,18000000,3600000
2024-01-02,Daegu,Phone,Electronics,20,20000000,4000000
2024-01-03,Seoul,Tablet,Electronics,22,22000000,4400000
2024-01-03,Busan,Phone,Electronics,15,15000000,3000000
2024-01-03,Incheon,Laptop,Electronics,8,12000000,2400000
2024-01-03,Incheon,Tablet,Electronics,10,10000000,2000000
2024-01-04,Seoul,Phone,Electronics,35,35000000,7000000
2024-01-04,Seoul,Laptop,Electronics,20,30000000,6000000
2024-01-04,Busan,Tablet,Electronics,12,12000000,2400000
2024-01-04,Daegu,Phone,Electronics,18,18000000,3600000
2024-01-05,Seoul,Laptop,Electronics,25,37500000,7500000
2024-01-05,Seoul,Phone,Electronics,40,40000000,8000000
2024-01-05,Busan,Laptop,Electronics,15,22500000,4500000
2024-01-05,Incheon,Phone,Electronics,22,22000000,4400000
2024-01-06,Seoul,Tablet,Electronics,30,30000000,6000000
2024-01-06,Daegu,Laptop,Electronics,10,15000000,3000000
2024-01-06,Busan,Phone,Electronics,25,25000000,5000000
2024-01-06,Incheon,Tablet,Electronics,15,15000000,3000000
2024-01-07,Seoul,Phone,Electronics,45,45000000,9000000
2024-01-07,Seoul,Laptop,Electronics,22,33000000,6600000
2024-01-07,Busan,Tablet,Electronics,18,18000000,3600000
2024-01-07,Daegu,Phone,Electronics,20,20000000,4000000
2024-01-08,Seoul,Laptop,Electronics,28,42000000,8400000
2024-01-08,Incheon,Phone,Electronics,30,30000000,6000000
2024-01-08,Busan,Laptop,Electronics,12,18000000,3600000
2024-01-08,Daegu,Tablet,Electronics,14,14000000,2800000
2024-01-09,Seoul,Phone,Electronics,50,50000000,10000000
2024-01-09,Seoul,Tablet,Electronics,35,35000000,7000000
2024-01-09,Busan,Phone,Electronics,28,28000000,5600000
2024-01-09,Incheon,Laptop,Electronics,16,24000000,4800000
2024-01-10,Seoul,Laptop,Electronics,30,45000000,9000000
2024-01-10,Daegu,Phone,Electronics,25,25000000,5000000
2024-01-10,Busan,Tablet,Electronics,20,20000000,4000000
2024-01-10,Incheon,Phone,Electronics,18,18000000,3600000
